Tasks

name,startDate,endDate,estimatedHours,actualHours,attachments,status,createdAt,updatedAt
"jwtzbe","09/21/2018","09/30/2018",118,471,"","open","09/17/2018","09/17/2018"
"dvvml","09/21/2018","09/24/2018",296,188,"","open","09/17/2018","09/17/2018"
"q6qzjg","09/21/2018","10/07/2018",84,269,"","open","09/17/2018","09/17/2018"
"p1zfn5","09/21/2018","09/26/2018",473,488,"","open","09/17/2018","09/17/2018"
"8h1du","09/21/2018","10/02/2018",337,316,"","open","09/17/2018","09/17/2018"
"rauzws","09/21/2018","09/19/2018",405,301,"","open","09/17/2018","09/17/2018"
"5asqs","09/21/2018","10/05/2018",88,483,"","open","09/17/2018","09/17/2018"
"3olnjc","09/21/2018","09/25/2018",288,129,"","open","09/17/2018","09/17/2018"
"sda7sc","09/21/2018","10/01/2018",77,428,"","open","09/17/2018","09/17/2018"
"p9wo9q","09/21/2018","10/08/2018",398,426,"","open","09/17/2018","09/17/2018"
"tmpvhvf","09/21/2018","10/08/2018",47,399,"","open","09/17/2018","09/17/2018"
"ty474o","09/21/2018","09/23/2018",467,436,"","open","09/17/2018","09/17/2018"
"rgijjo","09/21/2018","09/20/2018",10,201,"","open","09/17/2018","09/17/2018"
"Task-1441","09/18/2018","09/22/2018",415,223,"","close","09/17/2018","09/17/2018"
"Task-1141","09/13/2018","10/06/2018",15,366,"","open","09/17/2018","09/17/2018"
"Task-961","09/18/2018","10/03/2018",142,116,"","open","09/17/2018","09/17/2018"
"Task-1251","09/18/2018","09/18/2018",461,84,"","open","09/17/2018","09/17/2018"
"Task-1101","09/18/2018","09/14/2018",242,364,"","open","09/17/2018","09/17/2018"
